Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
Ridge,79,31883.0,23683.0,0.3012,25421.0,19164.0,0.4597
Ridge,80,31866.0,23664.0,0.3019,25441.0,19155.0,0.4589
Ridge,81,31811.0,23674.0,0.3038,25499.0,19137.0,0.4564
Ridge,82,31870.0,23699.0,0.3011,25463.0,19132.0,0.458
Ridge,83,31801.0,23637.0,0.3042,25480.0,19134.0,0.4572
Ridge,84,31797.0,23634.0,0.3044,25514.0,19188.0,0.4558
Ridge,85,31817.0,23668.0,0.3037,25634.0,19297.0,0.4507
Ridge,86,31844.0,23597.0,0.3025,25535.0,19241.0,0.4549
Ridge,87,31854.0,23606.0,0.302,25529.0,19237.0,0.4551
Ridge,88,31873.0,23584.0,0.3012,25660.0,19263.0,0.4496
Ridge,89,31884.0,23593.0,0.3007,25658.0,19271.0,0.4496
Ridge,90,31862.0,23585.0,0.3016,25647.0,19257.0,0.4501
Ridge,91,31867.0,23591.0,0.3014,25644.0,19269.0,0.4502
Ridge,92,31899.0,23612.0,0.3,25659.0,19270.0,0.4496
Ridge,93,31914.0,23626.0,0.2993,25657.0,19270.0,0.4497
Ridge,94,32194.0,23869.0,0.2863,27692.0,20090.0,0.3589
Ridge,95,32910.0,24105.0,0.2513,27139.0,20177.0,0.3843
Ridge,96,32915.0,24109.0,0.2511,27152.0,20196.0,0.3837
Ridge,97,32932.0,24123.0,0.2502,27152.0,20195.0,0.3837
Ridge,98,32940.0,24135.0,0.2498,27161.0,20195.0,0.3833
Ridge,99,33036.0,24193.0,0.2458,27050.0,20179.0,0.3883
Ridge,100,33022.0,24189.0,0.2466,27017.0,20132.0,0.3898
Ridge,101,33040.0,24206.0,0.2457,27013.0,20129.0,0.39
Ridge,102,33074.0,24222.0,0.2442,26986.0,20107.0,0.3912
Ridge,103,32997.0,24206.0,0.2475,26764.0,19915.0,0.4012
Ridge,104,33020.0,24228.0,0.2465,26771.0,19922.0,0.4008
Ridge,105,33043.0,24263.0,0.2453,26873.0,20012.0,0.3963
Ridge,106,33059.0,24259.0,0.2447,26900.0,20030.0,0.3951
Ridge,107,33076.0,24271.0,0.2439,26898.0,20027.0,0.3952
Ridge,108,33121.0,24317.0,0.2419,26929.0,20062.0,0.3937
Ridge,109,33137.0,24329.0,0.2412,26929.0,20062.0,0.3938
Ridge,110,33133.0,24329.0,0.2413,26901.0,20048.0,0.395
Ridge,111,33159.0,24346.0,0.2401,26910.0,20059.0,0.3946
Ridge,112,33184.0,24349.0,0.2389,26901.0,20049.0,0.395
Ridge,113,33202.0,24388.0,0.2381,26789.0,20056.0,0.4
Ridge,114,33242.0,24417.0,0.236,26805.0,20071.0,0.3993
Ridge,115,33174.0,24360.0,0.2391,26799.0,20082.0,0.3996
Ridge,116,33165.0,24344.0,0.2396,26794.0,20121.0,0.3998
Ridge,117,33171.0,24359.0,0.2395,26770.0,20096.0,0.4009
Ridge,118,33194.0,24380.0,0.2385,26775.0,20098.0,0.4007
Ridge,119,33195.0,24381.0,0.2385,26772.0,20116.0,0.4008
Ridge,120,33188.0,24379.0,0.2388,26772.0,20117.0,0.4008
